Lemma	PoS	Freq(ipm)	rnc_num_senses	wiktionary_num_senses	ruwordnet_num_senses	Mean	Group
год	s	3727.5	5	1	1	2	2
человек	s	2723.0	4	1	2	2	2
время	s	2015.7	9	1	5	5	3
дело	s	1412.1	11	2	4	6	3
жизнь	s	1389.8	6	1	1	3	2
день	s	1258.4	6	2	3	4	2
рука	s	1200.6	7	1	1	3	2
раз	s	1131.8	4	1	0	2	2
работа	s	1058.3	8	1	5	5	3
слово	s	967.9	9	1	2	4	2
место	s	926.6	10	1	5	5	3
лицо	s	878.0	5	1	4	3	2
друг	s	874.2	3	2	2	2	2
глаз	s	857.6	3	1	1	2	2
вопрос	s	805.8	3	1	3	2	2
дом	s	792.6	5	1	2	3	2
сторона	s	768.3	11	1	5	6	3
страна	s	725.7	2	1	2	2	2
мир	s	714.7	11	1	4	5	3
случай	s	709.7	3	1	3	2	2
голова	s	709.4	10	1	4	5	3
ребенок	s	658.3	3	1	4	3	2
сила	s	645.8	18	2	4	8	3
конец	s	634.7	7	1	3	4	2
вид	s	620.1	9	1	5	5	3
система	s	617.8	7	1	4	4	2
часть	s	585.4	10	1	2	4	2
город	s	573.4	2	1	1	1	1
отношение	s	557.4	5	1	4	3	2
женщина	s	533.3	1	1	2	1	1
деньги	s	512.4	2	1	2	2	2
бог	s	425.4	2	1	1	1	1
тысяча	s	416.0	1	1	1	1	1
результат	s	403.1	2	1	1	1	1
ночь	s	402.8	1	1	1	1	1
жена	s	376.8	2	1	1	1	1
свет	s	359.7	10	2	4	5	3
форма	s	347.8	10	1	3	5	3
государство	s	326.4	1	1	1	1	1
язык	s	324.9	12	1	3	5	3
помощь	s	300.1	2	1	1	1	1
ситуация	s	298.8	1	1	1	1	1
рубль	s	296.4	1	1	1	1	1
правительство	s	277.7	1	1	1	1	1
информация	s	269.2	2	1	1	1	1
положение	s	268.2	7	1	6	5	3
муж	s	263.0	2	1	1	1	1
автор	s	262.1	1	1	1	1	1
правило	s	258.8	8	3	3	5	3
партия	s	250.4	9	1	5	5	3
движение	s	244.7	9	1	4	5	3
ряд	s	238.0	10	1	3	5	3
газета	s	237.5	1	1	1	1	1
план	s	235.3	7	2	5	5	3
точка	s	232.2	8	1	5	5	3
данные	s	229.0	2	1	1	1	1
мнение	s	228.4	1	1	1	1	1
ход	s	226.5	13	1	3	6	3
директор	s	222.2	1	1	1	1	1
количество	s	206.7	2	1	1	1	1
